model,category,prompt,trial,input_tokens,output_tokens,deltas_emitted,ttft_s,elapsed_s,tokens_per_sec,eval_ms_per_token,decode_ms_per_token,decode_p50_ms,decode_p95_ms,cost_usd,cost_per_million_tokens
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",1,42,231,230,0.5059382915496826,10.078695058822632,24.388910392218136,41.00224175324675,41.61042417501258,41.15414619445801,45.926809310913086,0.002487469333030303,9.111609278499278
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",3,46,256,256,0.5019421577453613,11.125267028808594,24.359202617316775,41.052246894531244,41.651533164230045,41.295766830444336,45.78375816345215,0.0027550619026996525,9.122721532118055
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",4,46,249,248,0.11940598487854004,10.443525075912476,24.384190754588772,41.01017786746988,41.61950644211248,41.22018814086914,43.48897933959961,0.0026884449935341364,9.11337285943775
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",1,72,256,256,1.4576897621154785,12.081877946853638,24.28417501498652,41.17908058984375,41.65358075908586,41.21899604797363,45.03297805786133,0.003001497429659723,9.150906797743056
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",2,42,198,197,0.49913787841796875,8.74592399597168,24.24831064860927,41.23998634343435,41.85010584033265,41.06426239013672,46.293020248413086,0.0021994659383164986,9.164441409652078
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",1,46,256,256,0.5874538421630859,11.183382034301758,24.394695871682483,40.99251760546875,41.54229725108427,41.19586944580078,45.32599449157715,0.0027510534037447918,9.109448356770834
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",4,42,89,88,0.5026161670684814,4.150343179702759,24.664821140546987,40.54357395505618,41.43013625309385,40.83895683288574,45.033931732177734,0.0011802684862471913,9.009683101123597
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",2,72,256,256,1.4631638526916504,12.195945978164673,24.05053043501243,41.579124531249995,42.07914576810949,41.30816459655762,46.39005661010742,0.0030306561880555556,9.239805451388888
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",4,72,256,256,0.11977505683898926,10.73943305015564,24.30628672748286,41.1416195,41.63638844209559,41.255950927734375,45.278072357177734,0.002998766932444445,9.142582111111112
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",0,42,205,204,0.5060429573059082,8.98190188407898,24.42285687501516,40.945250800000004,41.54148360191308,41.12529754638672,45.42088508605957,0.002247439321688889,9.098944622222223
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",3,46,256,256,0.5953469276428223,11.230092763900757,24.302843534831972,41.14744838671875,41.69681960461187,41.20182991027832,45.46499252319336,0.002761450980619792,9.143877419270835
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",0,72,256,256,1.46262788772583,12.338866949081421,23.738969463894808,42.124827765625,42.642648547303445,41.2900447845459,47.80101776123047,0.003070431890472222,9.361072836805556
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",0,46,205,204,0.5951662063598633,9.094152212142944,24.343866956152915,41.078108165853656,41.64948721824609,41.078805923461914,45.456886291503906,0.002291245588806504,9.128468481300812
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",0,42,155,154,0.4791381359100342,6.839437246322632,24.577385735677257,40.687809954838706,41.288900998682756,40.90690612792969,44.158220291137695,0.0017812219024673833,9.041735545519712
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",1,42,256,256,0.11925888061523438,10.697396993637085,24.395479491691873,40.99120086328125,41.47451812145757,41.07499122619629,45.16100883483887,0.0027145284127239586,9.109155747395834
